tweet,class2,rand
"porra, fiquei bêbado ontem kkkkkk. ainda bem que eu não acordei com ressaca hj",1,1.71E-05
"RT @cuposyrup: What females do on twitter:\
\
1. Brag bout loyalty \
2. Call other females hoes\
3. Song lyrics\
4. Complain bout cramps\
5. Twee&#8230;\",1,5.78E-05
@NyJusDntGAF what's up nigger &#128513;\,1,6.58E-05
RT @BRANDONBARAY: update: u are still a bitch\,1,7.06E-05
@sloganDomono cause you got you wife on the left an bitches on the right nigga man logic #puss\,1,0.00013025
"He got Channing Tatum as his bitch,I'm out\",1,0.000152358
minha mãe quase infarta vendo vôlei pqp kkk,1,0.00015529
@chrisrmz95 dude was a bitch nigga and took off running\,1,0.000155331
encore une gauchiste déconnectée ...,2,0.000156012
@thereal_2raw @AssGods Brah *falls out* white bitches crazy\,1,0.000176796
&#8220;@DipEx_YRichN: Why that hoe crying In her mugshot&#8221;&#128514;&#128514;&#128514;&#128514; bruh\,1,0.000240247
@redron100 but when its the same method other colonial states employed france england... They dont get to bitch when its their playbook\,1,0.000272007
@user @user le chercheur qui diriger cette etude que tu n'as sans doute pas lu precise bie... @url,2,0.000322354
@ebomb26 cool beaners.\,2,0.000329748
When your nigga passes you a hoe http://t.co/ItusP1WVoI\,1,0.000342523
I don't put nothing pass nobody when it comes money n pussy.\,1,0.000372429
rt @user pq tá todo mundo incomodado pq tomei 500ml de açaí no cu da manhã?,1,0.000379121
"Finally running the game and everybody trippin now, but Ion give a fuck I got their bitches drippin now.\",1,0.000413678
U still fuck with your old bitch? &#8212; Disrespectful like shit http://t.co/CEYCDVZ4w5\,1,0.000444894
Lmao Lebron's expression says it all RT &#8220;@InkMyHoleBody: This nigga is a fuckin faggot https://t.co/GSGhiZMdmW&#8221;\,1,0.000454483
ta pegando homem casado ne piranha — piranha nao sou solteira https://t.co/kwhljvdaje,1,0.000476391
@KellyOsbourne do u still have ur blk. pom?\,2,0.000491148
@dominiloka that hoe show up uninvited one day your ass won't come outside tho\,1,0.000512271
"rt @user 496 dias sem ela
496 dias sem saber #quemmandoumatarmarielle
#julgamentojá",2,0.000572348
&#128563;Oh this bitch Midy must be crazy http://t.co/75LWvtD4oJ\,1,0.000582563
"rt @user @user vai pertuba o juan , tá pensando que essa porra aq é brincadeira",1,0.000585085
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""\",1,0.000624195
@user @user @user alguém tá mentindo.,2,0.000714401
#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!\,2,0.00071742
"o criança para ser feia — desculpa, mas ra falando da criança errada 😘😘 https://t.co/unxm6akksr",1,0.000728918
"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't\",1,0.000733832
RT @TheKitchensHeat: Don't beef over no bitch..\,1,0.000745632
@user @user @user que cette petite pute ferme sa gueule,1,0.000833537
rt @user sensatez a gente vê por aqui 👏 https://t.co/5jumlqmp9x,2,0.00083738
@user @user @user l'ivg façon gauchiste c'est comme le choléra ça se repend de partout,1,0.000872666
Someone tell the royals to stay home there trash&#128553;\,2,0.000898771
You want a smart educated dumb bitch you can date. #Lol #drunktalk\,1,0.000910552
If I was a guy I'd definitely dress up as the fuck her right in the pussy guy\,1,0.000912367
rt @user eu sou feio   porem ja fui mais feio,2,0.000918729
"&#8220;@TryHardSilva: Quote this with a weezy verse"" I'm a diamond in the rough like a baby in the trash\",2,0.000933204
RT @RuNeshaShamia: Drunk inlove with my gun bae bitch Beyonc&#233; &#128520;&#128527;\,1,0.001088038
@TrueNovacane they not gonn comment cause they in the closet hoes lol! #Team #Getchoassoutdatcloset lol\,1,0.001089188
"RT @iam_KandiRaven: ""You gotta be able to keep a bitch on her feet or she'll be on her knees with the next nigga.""\",1,0.001145287
"Me: downloads flappy bird*\
Sierra: ""welp there goes school""\",2,0.001148804
hoje foi dia de comemoração antecipada do dia dos pais... minha flor tava demais com essa gravatinha. https://t.co/vjkxmyfd45,2,0.001186976
"alô, @user 
é inveja que chama né?",2,0.001246954
RT @randycaliboi: When I hear an ugly bitch talk about another ugly bitch &#128528; ... http://t.co/RwvyvPYE2n\,1,0.001267515
Tem que abrir uma sindicância e saber com ordem de quem?   Quem mandou essa viatura lá? Alô PM. Vamo virar essa porra? Que tá acontecendo? Exigimos explicações,2,0.001268949
Y'all hoes really get mad cause a nigga don't want cha\,1,0.001277987
vou chorar igual um desgraçada hj,1,0.001306196
@user porra nem fl irmão 😂😂🤦🏾‍♂️,2,0.001335149
