tweet,class2,rand
My manager is retarded bruh always asking siri some spellings. &#128514;&#128514;&#128514; ..this nigga is dum af doe\,1,1.07E-05
Now don't you hate them ol... Lyin ass hoes... Smilin in ya face wearin her best friends clothes\,1,9.37E-05
"ah, fds a porra toda também",1,0.000139589
"""Bae"" sounds like such a ghetto word. Use something else\",2,0.000146046
@travistefft I know how you feel....I never thought I'd see the Sox win in my lifetime. Hope you can use Ant's Yankees hook up to see a game\,2,0.000166188
vê se eu mereço uma porra dessa kkkkk,1,0.000174788
"@user já vou estar na sua casa quando você chegar, tomando banho de piscina",2,0.000208554
"rt @user e se você tiver o poder de fazer um babaca se por no lugar dele, faça https://t.co/usxfv7fang",2,0.000217547
"negativo!
viado fica!",1,0.000252176
@user @user @user que braveza gente !!!,2,0.000262107
@user @user @user cozinha hard core nos tempos áureos de jundiaí-sp,2,0.000315399
"tô chorando junto ,pqp #voleinosportv",1,0.000407629
"saltadeira pretinha e marrom (5mm), com as quelíceras brancas!!! https://t.co/pjermqz4lm",2,0.000442423
"@BeavisCumia @jimmysdong\
Dat cat gonna scratch all up on dat colored boy and he gonna end up in da chow mein\",2,0.000485518
A hoe gone be a hoe they ain't &#128175;\,1,0.000491613
a porra da mulher vem atrás e milena ri .  kkkkk fdp,1,0.000525001
"@user nossa que desgosto da humanidade que é essa mulher, puta merda",1,0.000536319
RT @DAiiNUH: girls with six packs are scary..... just have a flat stomach that's hot enough.... ripped bitches are scary looking.\,1,0.000581067
gente?????????????? ai pqp eu nn aguento mais essas coisas,1,0.00068517
"@Yankees @marines1994 Daggone it Twins, kick it up a notch... Time to beat the Yankees...\",2,0.000738919
@renfro_tiffany @ADawg2016 adawg getcho ghetto booty up\,1,0.000739637
&#8220;@GreatScottnyc: Can't a bitch living say I brought her MICHAEL Kors&#8221; we need more guys like you &#128588;\,1,0.000742872
"RT @RaiAllure: ""yo bitch chose me you aint a pimp you a FAIRY."" #ripPimpC\",1,0.000821133
@user uma dica droga: nao se entupa de serie.,2,0.001003542
RT @treymcgruder233: @22EdHam what you still doing up my nig\,1,0.00102293
@lucioxnava how about darkskin dykes?\,1,0.001034324
tomar no cu viu vei,1,0.001056396
"quando eu peço p minha mãe pra deixar eu ir num role foda

minha mãe: https://t.co/d2ljze2ttq",2,0.001081507
"' From Freshman Year to Senior year , this really my niggah started being brothers 4 years ago TODAY . It's crazy... http://t.co/IIHcPFiyQu\",1,0.001087026
@suchy_monster you make me feel all warm and fuzzy inside &#128522; #youCANsitwithus\,2,0.001114052
"Vou lavar o cabelo pra ir nesse aniversário com cabelo arrumado pra disfarçar a roupa e a maquiagem q vão star uma merda 

aliás, nem vou passar sombra pra dar chance de erro e ficar feia, melhor assim",1,0.001247807
""" these hoes like niggas that spend money not talk bout it ""\",1,0.001312923
Quem deseja incluir o nome do pai no registro de nascimento deve comparecer à diretoria dos fóruns mato-grossenses até o dia 2 de agosto. Leia mais: https://t.co/IZIdWqGpWv https://t.co/eXwt3PrrPi,2,0.001337112
"That nigga gucci always hits that hoe when he puts ""Rick James"" in a song, giving our nigga rick a shoutout #RIPRICK #RICKJAMESBITCH\",1,0.001392269
"&#8220;@HighClassCapri: Ima show my ass tonight, I can feel it &#128586;&#8221;omgggg I was thinking the same shit bitch&#128553;&#128553;\",1,0.001411101
"gente eu acho que assim.. se você vai lá e faz uma conta pra postar sobre khh, kpop e os caralho você tem que saber os termos certos né.. não precisa ser expert mas pqp né",1,0.001422079
@calumlove1997 might havti give you a visit. This cunt isn't going to have a family when im done.\,1,0.001471346
"Aghh! I took my 15minute break to relax for a bit, not to here this bitch yell&amp;complain! &#128530;\",1,0.001479415
RT @wizkhalifa: Currently taking over ur bitches brain with my creativity and wierdness.\,1,0.001499919
I don't fuck wit bitches that listen to that EDM shit for some reason them bitches be havin mad energy and I like to chill\,1,0.001521281
"@user e vc querendo dar aulas de direito para os ministros do stf 茅 a piada do dia.  a prop贸sito, cad锚 o queir贸z? 馃ぃ馃ぃ馃ぃ",2,0.001531662
"nossa, publicaram umas fotos que eu apareço e eu tô em crise por ser tão feia",1,0.001568641
@user te amo sua fdp,2,0.001606302
"Somos um país tropical, mas a NR15 define, em determinados casos, que no ambiente externo são 15 minutos de trabalho e 45 de descanso. E há sentenças judiciais que estão no sentido de retroagir o tempo e cobrar hora extraordinária. #NovasNRs https://t.co/TmXK5MFX0y",2,0.001627517
@grrizzIy right in the fucking pussy\,1,0.001653327
me racho d rir com o marcelo pqp,1,0.001656962
eu fico nervosa pra tudo pqp por mais que seja uma parada que é meu sonho fazer a vontade é desmarcar só pra eu n ficar mais ansiosa,2,0.001673391
Better play your part bitch don't be a smart bitch cuz I might have a change of heart\,1,0.001734212
"@DionPrimo The soul has departed from the train.There's no more soul in music.Just hunger for bitches,money and fame.\",1,0.001751878
Selling ex lax brownies in front of Meijer to pregnant women. #GoodDeed\,2,0.001790887
"RT @BestSagittarius: #Sagittarius can be compassionate towards other people when they want to be, especially towards the ones they care abo&#8230;\",2,0.001795525
