tweet,class2,rand
j’vais quitter ce réseaux d’attardé mentaux,1,0.000120845
rt @user se a sua opinião não é um elogio nem vai trazer nada de bom pra quem ouvir guarde pra vc amore,2,0.000173194
chocolate negro o nada.,1,0.000183165
@user fogo no parquinho!,2,0.000229786
"@user @user acabou as boquinhas do governo mandioca,  agora é malhar para não perder a popularidade em baixa.",1,0.000303839
cheguei em goiana tá rolando um raggae do carai na minha casa ??????,1,0.000318888
rt @user meu deus mas o sulista nao presta nem pra dançar https://t.co/ostf7dm0x9,1,0.000327108
que tweet mais mongol @url,1,0.000408611
bien des migrants vivaient aussi dans l'illÉgalitÉ aux États-unis 35 % des migrants illégaux interceptés au québ… @url,2,0.000478184
@user enfiar eles no seu cu que ja ta grande neah kk,1,0.000560364
"tudo q vai, um dia volta... aiaiai",2,0.000566066
"Padrões estéticos como cortes de cabelo, forma de vestir ou obrigatoriedade de uso de bonés ou boinas não podem ser exigidos dos alunos. https://t.co/z9BXLSxVHY",2,0.00058828
"rt @user o mal de vagabundo é querer roncar pra conhecido, pra se aparecer pra desconhecido...",1,0.000605122
@user @user non mais s’en fou en fait tu défend des attardé,1,0.000650404
rt @user paulão vai vim cedo desse jeito paulinha na fab https://t.co/ucotneppgj,2,0.000741318
mdr les rebeus de france pas l’occasion de manger des petit four vous êtes bien aux usa @url,2,0.000761668
o @user é retardado demais com esses vídeos kakakak,1,0.00076912
bon tous les renois/métisses hop oublié pas de mettre de la crème c’est reparti!,1,0.00092026
mon train reste coincé 20min en gare mais pourquoi ? parce que ya 3putain d'attardé qui jettent de la caillasse s… @url,1,0.001018161
"Querida, eu fui no Maracanã 2 vezes e nessas 2 vezes eu vi a torcida toda cantar o jogo todo! Todos juntos cantando o tempo inteiro, você pode até não gostar, mas você tem que respeitar, e não "" damos de maior torcida "", SOMOS a maior torcida desse mundo.",2,0.00104672
@user @user non psychophobe c'est quand stigmatise les maladies mentales : dire qu'untel est attard… @url,2,0.001090473
Jair Bolsonaro e a bancada de ameba do PSL tá divulgando esse vídeo pra dizer que ele foi OVACIONADO na Bahia. Só esqueceram de comentar que o evento foi fechado e só tinha CONVIDADOS do governo federal né meu amores? https://t.co/SHIXgl3wrc,1,0.001095543
Salve Galera! Chega mais pois estou iniciando uma live agora de Paladins: Champions of the Realm na Mixer -&gt; https://t.co/syw4kYOEUb https://t.co/RrgKq8UjCC,2,0.001127295
abraça o pp de vs📝,2,0.00127353
"Pra quem ta precisando de grana, o QUIZE é um jogo que vale dinheiro se vc acertar todas as 15 perguntas 

Quando se cadastrar use a minha referência: gabrielfgobbi 
pra ganhar vida extra no jogo!!!

A rodada de hoje vai tá valendo 1.250 REAIS (dividido para todos que ganhar) https://t.co/4b1Kd5geMM",2,0.001369741
@user john j’le kiffe mais c’est un mongol un peu mdrr,1,0.001381197
rt @user netflix q porra eh essa q vc fez com cdz,1,0.001402053
@user de nada,2,0.001411725
porra esse time de vôlei tá me fazendo passar raiva dois dias seguidos,1,0.001644106
@user @user @user @user ici c'est arabo-satanique. pour le sale arabe je le croisais… @url,1,0.001669574
"Eu só quero dizer que eu amo esse filme com todas as minhas forças desde a primeira vez que vi em 2015 obrigada Disney por nos dar uma trilogia incrível com atores, diretores e todos os envolvidos incríveis. 🥺💕❤️💜💙💛 #Descendants3 https://t.co/1nEqF1PsMO",2,0.001703968
vomitando feito uma porca graças a mim mesma,2,0.001712131
ficar em ksa com a minha eh a mesma coisa que se estressar pra caralho,1,0.001763511
"@user @user @user A ruiva 茅 amiga dela e dan莽arina, e ela n茫o sabia dan莽ar. A amiga dela t谩 ensinando ela dan莽ar. E qual o problema hein? Voc锚s s茫o uns filhos da puta desgra莽ados de chatos pqp ela t谩 aprendendo seus bestas",1,0.001819777
"ahhhh o mar...

#frases #frasesinspiradoras #mar #praia #sea #beach em praia do pau grande https://t.co/duuambtyjv",1,0.001843988
clube das pessoas que saem pra comprar 1 coisa e voltam com monte de treco menos a coisa,2,0.001861529
"rt @user eu tomo muita água messssssmo 
e eu fico urinando; água
minha barriga fica cheia de; água

á g u a",2,0.001879813
"@user @user #horadeporcafé  
 -ofensas difíceis demais para serem entendidas: A vissitude de seus argumentos é um ultraje, poderia ser mais celére e pragmático suas falas são cheias de subterfúgios deveria perscrutar mais antes de falar. Vc é apenas um pernóstico obtuso",2,0.001934141
oh les renois bledard dans les réseaux ils mettent tjs 40 hashtag en 1 phrase et demi arrêtez les freres mdrr,2,0.001935059
@user @user o povo de la deve conhecer a gente como o casal de sapatao que vive brigando jdhdkdhdkdjd pqp,2,0.001954686
"Tipo eu não consigo aturar ninguém muito tempo, pessoal fica a querer falar 24/7 e eu acho ridículo e um bcd doentio, daí acabar por não falar c quase ninguém https://t.co/SN2dgctxzH",1,0.002032754
"nunca, nunca mesmo eu vou entender o tipo de pessoa que abre mão de amizades por causa de namoro!",2,0.002084937
@user n deu  kkkkkk frio p caralho,1,0.002120958
eu juro que se a minha morte vier é por causa desse lixo aqui https://t.co/lqpaysyhvv,1,0.002180591
puta q pariu né mano,1,0.002242322
5 votos so porem ok vou postar quando chegar em cass,2,0.002275948
avisa pra estes projetos de puta n茫o chegarem perto do homem se n茫o o bagulho vai fica sinistro 鈥� ouviram neh nao cheguem.perto do bolsonaro https://t.co/9RUaJgxNck,1,0.002339559
e eu que nem precisei entrar pra corte pra ser feito de bobo,2,0.002479315
hoje me tornei paulista: comi pastel na feira,2,0.00251437
"Sou total contra violência, mas é sempre bom ver um branco racista e filho da puta, tomando umas na cara, da um puta tesão",1,0.002540373
o pior/melhor de tudo é que eduardo veio também de santa cruz  kkkkkkkkkk,2,0.002542981
@user porra ele fez isso 5h da manhã,2,0.00254702
dès lsbah lillah un sale arabe casse les couilles en allant prendre le métroooooooo,1,0.002578459
@user ah ? jsp j'ai bloque direct cmb ?,1,0.002615773
@user clim de quoi ? la clim elle est au parc mongol que ce soit draxler neymar ou mbappe ils avaient peur d… @url,1,0.002652397
"eu amo, sabe........",2,0.002691153
sextou e eu vou ficar em casa kk 😏,2,0.002703707
o zrg é burro puta que pariu,1,0.002746589
"acho que branco escroto tem mais que tomar no cu msm, mas nunca vou vibrar com violência assim não.",1,0.002795841
"@user pô irmão, fica bem aí ❤️❤️",2,0.002841919
"@user @user j谩 passou sua vergonha hoje, lambe-botas de petralha, j谩 pode ir dormir!馃ぃ馃ぃ馃ぃ馃ぃ馃ぃ",1,0.002872841
"rt @user prédio mt bonito, saudades de te mirar sacana https://t.co/l2pakgaosy",2,0.00306001
