tweet,toxic,rand,class2
@user enfiar eles no seu cu que ja ta grande neah kk,1,0.351509104,1
n vou negar que queria,0,0.418644266,2
se fode desisto do fortnite caralho,0,0.765999807,2
rt @user @user pqp todo dia uma bosta nova do psl https://t.co/5bxhcoimn9,1,0.776704339,1
@user pqp...nada mudou.,1,0.918306984,1
"rt @user ooi gente, me ajuda aí prfv, nunca pedi nada a vcs 🙏🏾 @user https://t.co/qk41uig6e0",0,0.395877835,2
nn vejo a hr de ir morar com meu irmão pqp ❤️,0,0.984967398,2
"galera descendo o pau em richard lajakajakakakakaka
23:59 super fã
00:00 seu fascista",0,0.032531462,2
"rt @user mulher tem 7 sentidos, visão, audição, olfato, tato, paladar, drama e reconhecimento de puta.",1,0.477945481,1
pq esses meninos fazem essa cara de cu (?),1,0.580343043,1
eu ainda quebrei a tela do meu celular ou foi a película pqp,0,0.927143388,2
rt @user chama nos 19 porra ♥️🎉obrigado meu deus 🙏🏾😌 https://t.co/qspz8sqe9s,1,0.253009004,1
@user vai se fuderrrrrrrrrr fdp arrombado,1,0.846500282,1
@user só quem tá classificado e quem acertou a porra do pênalti,0,0.423329586,2
@user vou acreditar que esse tweet 茅 pra mim馃槏馃槏,0,0.019686121,2
"@user Eu falo sempre, se nosso presidente @user  e @user  nao tomarem providencias urgentes. INTERVIR, vai “foder” vai “feder” e vamos ver esse ladroes comunistas novamente nos roubando e doutrinando os fracos, PRESIDENTE INTERVENÇÃO no STF URGENTE",1,0.854633033,1
posso nem ser feliz c meu amendoim em pazz,0,0.163426393,2
@user @user cala a boca sua feia,1,0.558200309,1
"@user parabéns meooo, cada sacrifício sempre vale a pena e olha o tanto que você evoluiu até aqui, você consegue o topo!!!! 🙏🙌💙",0,0.144265664,2
pqp como eu sou burra,0,0.24150669,2
Mas tudo bem deixa estar o karma serve pra isso. Agora vou me arrumar pq sou sair pra curtir minha última sexta-feira off de absolutamente TUDO,0,0.439404162,2
@user @user kkkkkkkkkkkkkkkkkkkk porra pagou mico ao vivasso,1,0.785493237,1
"@user olha quem fala, maravilha p crlh",0,0.941505824,2
@user Depois de encher o rabo com dinheiro da lei Rouanet e se aproveitar do dinheiro dos pagadores de imposto tem a cara de pau de vir à público defender militantes disfarçados de jornalistas cujo único objetivo é soltar o Jumento de nove dedos,1,0.899080137,1
"rt @user porra de nude, manda tuas teoria ai pa ve se nossa brisa bate",0,0.817712698,2
rt @user @user mano kkkkkkk #mpn #nowunited https://t.co/pdsrcxwmom,0,0.303184121,2
@user desculpa feia eu nem falei p ngm,0,0.793758795,2
"rt @user galera não gosta de ver a felicidade dos outros e fazem de tudo pra estragar né, tnc",1,0.739551914,1
@user @user @user chorei puta merda😔,1,0.207652969,1
nem parece a gente briga por comida https://t.co/pjmukgdgzv,0,0.89345945,2
@user ridículo querer acusar bolsonaro com menos de 300 dias de governo pela destruição provocada pela esquerdopatas na amazônia.,1,0.988441324,1
"@user @user calma, putinha dois amantes.",1,0.173260935,1
rt @user “15 conto a buceta” kkkkkkkkkkkkkkkkkkk,1,0.089943011,1
"valorize sua amiga porra,pq até pouco tempo quem era fechamento contg era ela. me poupe se poupe e nos poupe.",1,0.159528332,1
voltou essa dor maldita 😓,1,0.692518492,1
acho tão mais bonito os lomotif mostrando o sorrisos,0,0.703004388,2
"@user r谩pido, usem as sardinhas!",0,0.545172147,2
"@user o mais engra莽ado ainda 茅 que tem gente que tipo, usa mesmo",0,0.474459152,2
